pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,1678.2837519137868
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,1684.9399602573405
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,1679.18825647826
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,1669.046966822494
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,1665.839865232368
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,1675.669140605123
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,1694.8203240913217
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,1688.9642544910394
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,1695.6204628345931
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,1689.8687590555126
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,1679.7274693997465
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,1676.5203678096204
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,1686.3496431823753
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,1705.5008266685743
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,1699.644757068292
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,1706.3009654118457
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,1700.5492616327651
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,1690.4079719769989
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,1687.200870386873
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,1697.0301457596279
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,1716.1813292458269
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,1710.3252596455445
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,1716.981467989098
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,1711.2297642100177
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,1701.0884745542514
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,1697.8813729641256
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,1707.7106483368805
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,1726.8618318230795
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,1721.0057622227966
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,1727.6619705663502
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,1721.9102667872698
